Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Vehicles Count,Priority Average Waiting Time
priority-score?,,1,,"(20, 30, 50)",9901.0,9842.0,10066.0,1.0166649833350168,25.0,222.0,0.31981981981981983
priority-score?,,1,,"(20, 40, 40)",9905.0,9853.0,9774.0,0.9867743563856638,19.0,194.0,0.5103092783505154
priority-score?,,1,,"(20, 50, 30)",9898.0,9821.0,10732.0,1.0842594463527986,34.0,196.0,0.9030612244897959
priority-score?,,1,,"(20, 60, 20)",9969.0,9908.0,11190.0,1.1224796870297924,27.0,215.0,0.786046511627907
priority-score?,,1,,"(20, 80, 0)",9999.0,9938.0,10830.0,1.083108310831083,27.0,219.0,1.2465753424657535
priority-score?,,1,,"(25, 25, 50)",10007.0,9946.0,9348.0,0.9341460977315879,26.0,194.0,0.35051546391752575
priority-score?,,1,,"(25, 50, 25)",9987.0,9921.0,10217.0,1.0230299389205968,26.0,192.0,0.5677083333333334
priority-score?,,1,,"(30, 10, 60)",10059.0,10013.0,8359.0,0.8309971170096431,19.0,194.0,0.3711340206185567
priority-score?,,1,,"(30, 20, 50)",9931.0,9873.0,8360.0,0.8418084785016615,27.0,213.0,0.39436619718309857
priority-score?,,1,,"(30, 30, 40)",10003.0,9937.0,9620.0,0.9617114865540338,27.0,200.0,0.445
priority-score?,,1,,"(30, 40, 30)",9980.0,9864.0,10236.0,1.0256513026052103,52.0,192.0,0.7708333333333334
priority-score?,,1,,"(30, 50, 20)",10066.0,9988.0,10585.0,1.0515597059407908,35.0,206.0,0.7135922330097088
priority-score?,,1,,"(30, 60, 10)",10074.0,10002.0,10656.0,1.057772483621203,32.0,200.0,0.89
priority-score?,,1,,"(33, 33, 34)",10003.0,9937.0,9620.0,0.9617114865540338,27.0,200.0,0.445
priority-score?,,1,,"(33, 34, 33)",9980.0,9864.0,10236.0,1.0256513026052103,52.0,192.0,0.7708333333333334
priority-score?,,1,,"(34, 33, 33)",9975.0,9889.0,8816.0,0.8838095238095238,39.0,209.0,0.569377990430622
priority-score?,,1,,"(40, 0, 60)",9943.0,9924.0,7959.0,0.8004626370310771,5.0,209.0,0.18660287081339713
priority-score?,,1,,"(40, 10, 50)",9938.0,9873.0,8008.0,0.8057959347957335,29.0,185.0,0.21621621621621623
priority-score?,,1,,"(40, 20, 40)",9945.0,9886.0,8705.0,0.8753142282554047,24.0,172.0,0.4186046511627907
priority-score?,,1,,"(40, 30, 30)",9972.0,9896.0,8749.0,0.877356598475732,34.0,212.0,0.6273584905660378
priority-score?,,1,,"(40, 40, 20)",10009.0,9963.0,9681.0,0.9672294934558897,19.0,207.0,0.7681159420289855
priority-score?,,1,,"(40, 50, 10)",10066.0,9988.0,10585.0,1.0515597059407908,35.0,206.0,0.7135922330097088
priority-score?,,1,,"(40, 60, 0)",9979.0,9921.0,10030.0,1.0051107325383304,25.0,211.0,1.1848341232227488
priority-score?,,1,,"(50, 0, 50)",9989.0,9972.0,7752.0,0.7760536590249274,6.0,244.0,0.1885245901639344
priority-score?,,1,,"(50, 10, 40)",10018.0,9949.0,8633.0,0.8617488520662807,29.0,194.0,0.6185567010309279
priority-score?,,1,,"(50, 20, 30)",9975.0,9903.0,8676.0,0.8697744360902255,32.0,210.0,0.5761904761904761
priority-score?,,1,,"(50, 25, 25)",9927.0,9863.0,8876.0,0.894127128034653,27.0,197.0,0.5177664974619289
priority-score?,,1,,"(50, 30, 20)",9863.0,9802.0,8722.0,0.8843151171043293,26.0,173.0,0.653179190751445
priority-score?,,1,,"(50, 40, 10)",10004.0,9943.0,8470.0,0.8466613354658137,26.0,178.0,0.5449438202247191
priority-score?,,1,,"(50, 50, 0)",10041.0,9994.0,10016.0,0.997510208146599,20.0,223.0,0.8295964125560538
priority-score?,,1,,"(60, 0, 40)",9983.0,9948.0,8305.0,0.8319142542321948,11.0,221.0,0.42081447963800905
priority-score?,,1,,"(60, 10, 30)",10148.0,10087.0,8978.0,0.8847063460780449,27.0,197.0,0.41624365482233505
priority-score?,,1,,"(60, 20, 20)",9971.0,9903.0,8532.0,0.8556814762812155,30.0,189.0,0.7619047619047619
